Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,ShortenedLink,ISBN
"Bye-Bye, Mom and Dad",Little Critter thinks he is in charge when Mom and Dad go away for the day even though Grandma and Grandpa spend the day with him.,['Mercer Mayer'],,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&cd=1&source=gbs_api",,2004,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&source=gbs_api",['Families'],,http://books.google.nl/books?id=5iK9tAEACAAJ,"1480687057, 9781480687059"
The Scarletti Curse (Candleglow),,['Christine Feehan'],,http://books.google.nl/books?id=2YXLtAEACAAJ&dq=The+Scarletti+Curse+(Candleglow)&hl=&cd=1&source=gbs_api,,,http://books.google.nl/books?id=2YXLtAEACAAJ&dq=The+Scarletti+Curse+(Candleglow)&hl=&source=gbs_api,,,http://books.google.nl/books?id=2YXLtAEACAAJ,
Universal Secrets of Telecosmic Power,,['Norvell'],,http://books.google.nl/books?id=3dYmAAAACAAJ&dq=Universal+Secrets+of+Telecosmic+Power&hl=&cd=1&source=gbs_api,Reward Books,1974-01-01,http://books.google.nl/books?id=3dYmAAAACAAJ&dq=Universal+Secrets+of+Telecosmic+Power&hl=&source=gbs_api,['Success'],,http://books.google.nl/books?id=3dYmAAAACAAJ,"0139389938, 9780139389931"
The Visitor's Guide to Normandy Landing Beaches: Memorials and Museums (Regional Traveller),,"['Tonie Holt', 'Valmai Holt']",,http://books.google.nl/books?id=mnuBQgAACAAJ&dq=The+Visitor%27s+Guide+to+Normandy+Landing+Beaches:+Memorials+and+Museums+(Regional+Traveller)&hl=&cd=1&source=gbs_api,Hunter Pub Incorporated,1994-01-01,http://books.google.nl/books?id=mnuBQgAACAAJ&dq=The+Visitor%27s+Guide+to+Normandy+Landing+Beaches:+Memorials+and+Museums+(Regional+Traveller)&hl=&source=gbs_api,['Travel'],,http://books.google.nl/books?id=mnuBQgAACAAJ,"0861905032, 9780861905034"
The Bar Code Implementation Guide: Using Bar Codes in Distribution,,"['Stephen L. Pearce', 'Richard D. Bushnell']",,http://books.google.nl/books?id=7Yw6AAAACAAJ&dq=The+Bar+Code+Implementation+Guide:+Using+Bar+Codes+in+Distribution&hl=&cd=1&source=gbs_api,Tower Hill Press,2000,http://books.google.nl/books?id=7Yw6AAAACAAJ&dq=The+Bar+Code+Implementation+Guide:+Using+Bar+Codes+in+Distribution&hl=&source=gbs_api,['Business & Economics'],,http://books.google.nl/books?id=7Yw6AAAACAAJ,"0941668061, 9780941668064"
Principles of Biblical Interpretation (Sacred Hermeneutics),,['Louis Berkhof'],http://books.google.com/books/content?id=XfbPznoyjHwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=XfbPznoyjHwC&q=Principles+of+Biblical+Interpretation+(Sacred+Hermeneutics)&dq=Principles+of+Biblical+Interpretation+(Sacred+Hermeneutics)&hl=&cd=1&source=gbs_api,,1962,http://books.google.nl/books?id=XfbPznoyjHwC&dq=Principles+of+Biblical+Interpretation+(Sacred+Hermeneutics)&hl=&source=gbs_api,['Bible'],2.0,http://books.google.nl/books?id=XfbPznoyjHwC,
Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),"Wanneer er in dit achtste deel in de Kay Scarpetta-serie tien lijken worden gevonden in Amerika en Engeland, lijkt er één dader te zijn. Maar hoe kan de moordenaar op twee plekken tegelijk zijn? Onnatuurlijke dood is het achtste boek uit de bloedstollende bestsellerserie rond patholoog-anatoom Kay Scarpetta van auteur Patricia Cornwell. Deze serie, bestaande uit meer dan 20 bloedstollende crimethrillers, betekende Patricia Cornwells doorbraak als grondlegger van de pathologisch-anatomische thriller. Negen gruwelijk verminkte lijken zijn er al gevonden: vijf in Ierland en vier in Amerika. Steeds wordt het lichaam gedumpt op een vuilnisbelt en steeds worden de ledematen afgesneden. Wie pleegt deze verschrikkelijke moorden? Wanneer een tiende lijk wordt gevonden, wordt patholoog-anatoom Kay Scarpetta opgeroepen om de zaak te onderzoeken. Alles lijkt erop dat een en dezelfde dader aan het werk is, maar is er echt sprake van dezelfde dader? Kay Scarpetta en rechercheur Pete Marino ontdekken steeds meer bewijsmateriaal dat wijst op een alomvattend complot, waardoor het gehele land in gevaar is... Patricia Cornwells werk over de vrouwelijke patholoog-anatoom Scarpetta is de bestverkochte thrillerserie ter wereld; alleen in Nederland en Vlaanderen zijn er al 1,5 miljoen exemplaren verkocht. Ook werd de serie bekroond met de Edgar Award en de Gold Dagger.",['Patricia Cornwell'],http://books.google.com/books/content?id=AgckDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=AgckDwAAQBAJ&printsec=frontcover&dq=Cruel+and+Unusual+(G+K+Hall+Large+Print+Book+Series+(Cloth))&hl=&cd=1&source=gbs_api,Luitingh Sijthoff,2017-06-01,https://play.google.com/store/books/details?id=AgckDwAAQBAJ&source=gbs_api,['Fiction'],,http://books.google.nl/books?id=AgckDwAAQBAJ,"9024577047, 9789024577040"
Gaston de Blondeville (The modern novelists),,['Ann Radcliffe'],http://books.google.com/books/content?id=7TI3AAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=7TI3AAAAYAAJ&printsec=frontcover&dq=Gaston+de+Blondeville+(The+modern+novelists)&hl=&cd=1&source=gbs_api,,1834,https://play.google.com/store/books/details?id=7TI3AAAAYAAJ&source=gbs_api,['Great Britain'],,http://books.google.nl/books?id=7TI3AAAAYAAJ,
Screenwriter: Words Become Pictures/304506,,"['Rob Dückers', 'Karin van Lieverloo', 'Museum Het Valkhof Nijmegen']",,http://books.google.nl/books?id=yGo0wwEACAAJ&dq=Screenwriter:+Words+Become+Pictures/304506&hl=&cd=1&source=gbs_api,,2005,http://books.google.nl/books?id=yGo0wwEACAAJ&dq=Screenwriter:+Words+Become+Pictures/304506&hl=&source=gbs_api,"['Illumination of books and manuscripts, Dutch']",,http://books.google.nl/books?id=yGo0wwEACAAJ,
"The Art of Technical Documentation, Second Edition","An essential text in the field of contemporary art history, it has now been updated to represent 30 countries and over 100 new artists. The internationalism evident in this revised edition reflects the growing interest in contemporary art throughout the world from the U.S. and Europe to the Middle East, Asia, Africa, Latin America, and Australia.","['Kristine Stiles', 'Peter Selz']",http://books.google.com/books/content?id=5qklDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=5qklDQAAQBAJ&pg=PA463&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&cd=1&source=gbs_api",Univ of California Press,2012-09-25,"http://books.google.nl/books?id=5qklDQAAQBAJ&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&source=gbs_api",['Art'],1.0,http://books.google.nl/books?id=5qklDQAAQBAJ,"0520253744, 9780520253742"
